Model:	LI-7500A Open Path CO2/H2O Analyzer
SN:	75H-2202
Instrument:	AIU-0702
File Type:	2
Software Version:	5.0.3
Timestamp:	18:30:00
Timezone:	America/Buenos_Aires
DATAH	Sequence Number	Diagnostic Value	Date	Time	CO2 Absorptance	H2O Absorptance	CO2 (mmol/m^3)	H2O (mmol/m^3)	Temperature (C)	Pressure (kPa)	Aux 1 - U (m/s)	Aux 2 - V (m/s)	Aux 3 - W (m/s)	Aux 4 - SOS (m/s)	Cooler Voltage (V)	CO2 (umol/mol)	H2O (mmol/mol)	Dew Point (C)	AGC	H2O Sample	H2O Reference	CO2 Sample	CO2 Reference	CHK
DATA	4815896	245	2014-03-18	18:30:00:000	0.0809405	0.0404777	14.7504	265.913	21.6634	94.7425	-0.402011	1.15502	0.121421	341.896	2.02101	381.589	6.87909	0.843828	37.5	41432.5	42758.5	38058	42260.5	109
DATA	4815926	245	2014-03-18	18:30:00:100	0.08092	0.0405003	14.7458	266.096	21.6634	94.7379	-0.450987	1.1142	0.287736	341.948	2.02111	381.478	6.88401	0.843823	37.5	41429.5	42756.5	38058	42258	144
DATA	4815956	245	2014-03-18	18:30:00:200	0.080897	0.0405092	14.7403	266.167	21.6634	94.7402	-0.448947	1.24073	0.108411	341.914	2.02111	381.328	6.88567	0.849069	37.5	41429.5	42756.5	38057	42257.5	 83
DATA	4815986	245	2014-03-18	18:30:00:300	0.0808819	0.0405166	14.7368	266.226	21.6634	94.7402	-0.393849	1.23664	0.138766	341.815	2.02106	381.236	6.88718	0.845301	37.5	41430.5	42757.5	38058	42258.5	146
DATA	4816016	245	2014-03-18	18:30:00:400	0.0808941	0.0405137	14.7398	266.205	21.6618	94.7379	-0.438743	1.29582	0.14948	341.79	2.02096	381.33	6.88693	0.832809	37.5	41434.5	42757	38055.5	42259.5	  8
DATA	4816046	245	2014-03-18	18:30:00:500	0.0809739	0.0404188	14.7585	265.444	21.6634	94.7355	-0.420377	1.36112	0.129838	341.793	2.02101	381.814	6.86724	0.79743	37.5	41435.5	42757.5	38053	42259	245
DATA	4816076	245	2014-03-18	18:30:00:600	0.0810092	0.0403875	14.7667	265.192	21.6602	94.7355	-0.430581	1.43663	0.163255	341.902	2.02096	382.024	6.86067	0.802381	37.5	41434	42757.5	38055	42258.5	 12
DATA	4816106	245	2014-03-18	18:30:00:700	0.0809637	0.040441	14.7561	265.621	21.6602	94.7402	-0.39793	1.47744	0.117849	341.92	2.02111	381.748	6.87178	0.826148	37.5	41433.5	42757.5	38055.5	42258.5	 75
DATA	4816136	245	2014-03-18	18:30:00:800	0.0809537	0.0404406	14.7535	265.615	21.6602	94.7379	-0.377523	1.46928	0.143868	341.92	2.02121	381.659	6.87121	0.808917	37.5	41433	42757	38054.5	42258.5	246
DATA	4816166	245	2014-03-18	18:30:00:900	0.0809695	0.0404453	14.7572	265.652	21.6602	94.7425	-0.363239	1.455	0.165805	341.962	2.02111	381.756	6.8722	0.836466	37.5	41430.5	42756.5	38055.5	42258	233
DATA	4816196	245	2014-03-18	18:30:01:000	0.0809322	0.0404992	14.7484	266.084	21.6602	94.7402	-0.348954	1.49173	0.207384	341.995	2.02101	381.518	6.8832	0.844594	37.5	41430.5	42756.5	38056	42258	238
DATA	4816226	245	2014-03-18	18:30:01:100	0.0809308	0.040492	14.7484	266.031	21.6602	94.7402	-0.387727	1.50397	0.214527	342.015	2.02106	381.555	6.88248	0.832297	37.5	41432.5	42758	38057	42259.5	220
DATA	4816256	245	2014-03-18	18:30:01:200	0.0809216	0.0404892	14.746	266.005	21.6602	94.7355	-0.361198	1.48561	0.17856	342.018	2.0208	381.464	6.88128	0.853137	37.5	41431.5	42759	38058	42260	 26
DATA	4816286	245	2014-03-18	18:30:01:300	0.0809135	0.0405269	14.7443	266.311	21.6571	94.7379	-0.424459	1.51417	0.157388	342.041	2.02096	381.442	6.88958	0.84972	37.5	41430.5	42758	38058	42259.5	254
DATA	4816316	245	2014-03-18	18:30:01:400	0.080913	0.0405188	14.7441	266.245	21.6571	94.7355	-0.622403	1.56519	0.147439	342.04	2.02106	381.427	6.88768	0.846976	37.5	41431.5	42758.5	38058.5	42259.5	133
DATA	4816346	245	2014-03-18	18:30:01:500	0.0808993	0.0405255	14.7407	266.295	21.6571	94.7402	-0.555061	1.47948	0.247178	342.065	2.02111	381.321	6.88867	0.857949	37.5	41429	42757.5	38058.5	42258.5	160
DATA	4816376	245	2014-03-18	18:30:01:600	0.0808751	0.0405423	14.7352	266.433	21.6555	94.7379	-0.583631	1.37745	0.291052	342.098	2.02096	381.193	6.89248	0.864748	37.5	41430.5	42758.5	38059	42259.5	158
DATA	4816406	245	2014-03-18	18:30:01:700	0.0808921	0.0405478	14.7392	266.477	21.6555	94.7402	-0.599956	1.32031	0.352528	342.149	2.02101	381.296	6.89364	0.859939	37.5	41431	42758.5	38059.5	42259.5	161
DATA	4816436	245	2014-03-18	18:30:01:800	0.0808825	0.0405439	14.7371	266.448	21.6539	94.7379	-0.475475	1.25501	0.262483	342.047	2.02096	381.257	6.89316	0.863302	37.5	41429	42758	38060	42259	109
DATA	4816466	245	2014-03-18	18:30:01:900	0.0808595	0.0405648	14.7318	266.617	21.6539	94.7379	-0.689745	1.25705	0.290032	342.078	2.02111	381.121	6.89756	0.860859	37.5	41431	42758.5	38059.5	42259.5	168
DATA	4816496	245	2014-03-18	18:30:02:000	0.0808808	0.040516	14.7366	266.223	21.6539	94.7332	-0.804023	1.28766	0.204578	342.042	2.02116	381.233	6.88712	0.844623	37.5	41430	42757.5	38058.5	42258.5	 62
DATA	4816526	245	2014-03-18	18:30:02:100	0.0808901	0.0405193	14.7388	266.249	21.6524	94.7402	-0.759128	1.32847	0.262993	342.038	2.02091	381.282	6.88769	0.85264	37.5	41430.5	42757	38057	42258	154
DATA	4816556	245	2014-03-18	18:30:02:200	0.0808941	0.0405161	14.7396	266.222	21.6508	94.7402	-0.842795	1.42643	0.186467	342.025	2.02106	381.3	6.88691	0.848095	37.5	41429.5	42756	38057	42258	 94
DATA	4816586	245	2014-03-18	18:30:02:300	0.0809045	0.0405092	14.7422	266.169	21.6508	94.7379	-0.771372	1.5305	0.360436	342.03	2.02106	381.373	6.88566	0.839534	37.5	41431	42757	38058	42259	244
DATA	4816616	245	2014-03-18	18:30:02:400	0.0809025	0.0404974	14.7419	266.075	21.6508	94.7379	-0.806063	1.53254	0.222945	342.054	2.02111	381.377	6.88346	0.843604	37.5	41431	42758	38058.5	42259.5	 29
DATA	4816646	245	2014-03-18	18:30:02:500	0.0808866	0.0405144	14.7379	266.209	21.6508	94.7355	-0.842795	1.48356	0.196161	342.083	2.02096	381.259	6.88663	0.852372	37.5	41431	42758	38058.5	42259	226
DATA	4816676	245	2014-03-18	18:30:02:600	0.0808912	0.0405144	14.7393	266.213	21.6508	94.7332	-0.879527	1.31827	0.095657	342.077	2.02101	381.315	6.88711	0.846124	37.5	41430.5	42757.5	38058	42259	 30
DATA	4816706	245	2014-03-18	18:30:02:700	0.080892	0.0405152	14.7391	266.215	21.6492	94.7355	-0.955032	1.37949	-0.0535679	342.038	2.02101	381.28	6.8866	0.847365	37.5	41430	42757	38056.5	42258	142
DATA	4816736	245	2014-03-18	18:30:02:800	0.0808975	0.0405136	14.7404	266.202	21.6476	94.7402	-0.922381	1.56111	-0.203558	342.043	2.02096	381.313	6.88625	0.835293	37.5	41433.5	42758	38056.5	42259	 63
DATA	4816766	245	2014-03-18	18:30:02:900	0.0809488	0.0404547	14.7524	265.729	21.6476	94.7402	-0.775453	1.57335	0.0438747	342.066	2.02101	381.623	6.87401	0.826082	37.5	41433	42759	38058.5	42260.5	 94
DATA	4816796	245	2014-03-18	18:30:03:000	0.0809124	0.0405017	14.7437	266.104	21.6461	94.7402	-0.76525	1.55907	0.19361	342.079	2.02101	381.385	6.88347	0.852452	37.5	41434	42758.5	38056.5	42259.5	 18
DATA	4816826	245	2014-03-18	18:30:03:100	0.0809564	0.0404503	14.7544	265.696	21.6476	94.7402	-0.804023	1.4101	0.00943815	342.003	2.02091	381.682	6.87333	0.796664	37.5	41436	42757.5	38053.5	42258.5	164
DATA	4816856	245	2014-03-18	18:30:03:200	0.0809961	0.0403898	14.7636	265.209	21.6445	94.7402	-0.871365	1.55907	-0.0882595	341.942	2.02111	381.914	6.86061	0.788666	37.5	41437	42758	38053.5	42259	 65
DATA	4816886	245	2014-03-18	18:30:03:300	0.0810098	0.0403696	14.7668	265.048	21.6445	94.7355	-0.965235	1.54887	0.0306102	341.986	2.02101	382	6.85647	0.792569	37.5	41437.5	42759	38054.5	42259.5	 17
DATA	4816916	245	2014-03-18	18:30:03:400	0.0809985	0.0403718	14.7643	265.068	21.6429	94.7402	-0.850958	1.51417	-0.224985	341.767	2.02101	381.951	6.85726	0.777401	37.5	41439.5	42758.5	38054	42260	 97
DATA	4816946	245	2014-03-18	18:30:03:500	0.0810181	0.0403453	14.7688	264.854	21.6429	94.7355	-0.806063	1.5958	-0.256361	341.762	2.0208	382.056	6.85153	0.787491	37.5	41439	42759	38054.5	42260.5	248
DATA	4816976	245	2014-03-18	18:30:03:600	0.0810174	0.0403521	14.7687	264.908	21.6414	94.7379	-0.812185	1.62641	-0.285696	341.72	2.0207	382.05	6.85291	0.767866	37.5	41440	42758.5	38052.5	42259.5	 42
DATA	4817006	245	2014-03-18	18:30:03:700	0.0810494	0.0403197	14.7761	264.647	21.6414	94.7402	-0.785657	1.66314	-0.375486	341.69	2.02106	382.231	6.84597	0.766623	37.5	41440	42758.5	38052.5	42260	 27
DATA	4817036	245	2014-03-18	18:30:03:800	0.0810403	0.0403176	14.7741	264.633	21.6414	94.7355	-0.850958	1.60396	-0.431604	341.692	2.02106	382.194	6.84584	0.75953	37.5	41440.5	42758	38053	42259	175
DATA	4817066	245	2014-03-18	18:30:03:900	0.0810358	0.0403003	14.773	264.494	21.6414	94.7402	-0.814226	1.67539	-0.468337	341.693	2.02101	382.167	6.84226	0.762774	37.5	41440	42758.5	38053	42259.5	 16
DATA	4817096	245	2014-03-18	18:30:04:000	0.0810358	0.040316	14.7728	264.617	21.6382	94.7379	-0.863202	1.68355	-0.393597	341.687	2.02101	382.137	6.84501	0.758575	37.5	41441.5	42759	38053	42260	187
DATA	4817126	245	2014-03-18	18:30:04:100	0.0810452	0.0403027	14.7753	264.514	21.6382	94.7379	-0.957072	1.69579	-0.410177	341.706	2.02096	382.23	6.84285	0.759849	37.5	41442	42759	38054	42260.5	190
DATA	4817156	245	2014-03-18	18:30:04:200	0.0810249	0.0402857	14.7703	264.375	21.6351	94.7355	-1.04278	1.706	-0.411453	341.817	2.02096	382.075	6.83879	0.754704	37.5	41439	42757	38052.5	42259	 82
DATA	4817186	245	2014-03-18	18:30:04:300	0.0810299	0.040303	14.7716	264.515	21.6351	94.7379	-0.973398	1.6509	-0.410687	341.734	2.02101	382.122	6.84266	0.754069	37.5	41439.5	42757.5	38052	42259	233
DATA	4817216	245	2014-03-18	18:30:04:400	0.0810314	0.0402976	14.7719	264.471	21.6351	94.7379	-1.01217	1.64274	-0.38773	341.884	2.02106	382.125	6.84143	0.76599	37.5	41438.5	42757.5	38053	42259	181
DATA	4817246	245	2014-03-18	18:30:04:500	0.0810116	0.0403406	14.7673	264.816	21.6351	94.7355	-1.00809	1.63457	-0.385689	341.99	2.02106	382.002	6.8503	0.787202	37.5	41437	42759.5	38056	42261	 65
DATA	4817276	245	2014-03-18	18:30:04:600	0.0809704	0.0404169	14.7578	265.43	21.6351	94.7379	-0.955032	1.68763	-0.555066	342.04	2.0207	381.77	6.86643	0.842905	37.5	41431.5	42759.5	38061.5	42261	240
DATA	4817306	245	2014-03-18	18:30:04:700	0.080852	0.0405556	14.73	266.543	21.6351	94.7309	-1.13257	1.73253	-0.406606	342.184	2.02096	381.048	6.89515	0.862609	37.5	41429.5	42758	38061	42260	 19
DATA	4817336	245	2014-03-18	18:30:04:800	0.0808631	0.0405466	14.7326	266.47	21.6351	94.7355	-1.04074	1.79579	-0.422166	342.184	2.02096	381.115	6.89328	0.86952	37.5	41430	42758	38060.5	42259.5	189
DATA	4817366	245	2014-03-18	18:30:04:900	0.0808511	0.0405553	14.7296	266.537	21.6351	94.7402	-0.797901	1.6611	-0.0525476	342.162	2.02106	381.021	6.89471	0.849924	37.5	41432	42758.5	38061.5	42260	 64
DATA	4817396	245	2014-03-18	18:30:05:000	0.0808395	0.0405266	14.7268	266.305	21.6382	94.7379	-0.720355	1.55091	-0.00229577	342.182	2.02106	380.938	6.88853	0.862909	37.5	41430.5	42759	38060.5	42261	191
DATA	4817426	245	2014-03-18	18:30:05:100	0.0808651	0.0405431	14.7328	266.438	21.6382	94.7448	-0.557102	1.22236	0.163255	342.17	2.02101	381.098	6.89203	0.856171	37.5	41431	42758.5	38060.5	42259.5	 50
DATA	4817456	245	2014-03-18	18:30:05:200	0.0808704	0.0405348	14.7342	266.374	21.6382	94.7379	-0.716274	0.969316	0.340029	342.149	2.02075	381.156	6.89077	0.850344	37.5	41433	42758.5	38059.5	42259.5	201
DATA	4817486	245	2014-03-18	18:30:05:300	0.0808786	0.0404952	14.7363	266.058	21.6382	94.7355	-0.73464	0.967276	0.307123	342.145	2.0208	381.218	6.88275	0.837737	37.5	41433	42758	38059.5	42259.5	 15
DATA	4817516	245	2014-03-18	18:30:05:400	0.0808708	0.0404789	14.7343	265.925	21.6414	94.7355	-0.830551	0.946869	0.217333	342.143	2.0207	381.156	6.87912	0.831163	37.5	41433	42758	38059.5	42260	193
DATA	4817546	245	2014-03-18	18:30:05:500	0.0808741	0.0405022	14.7351	266.113	21.6414	94.7355	-1.18767	1.0489	0.279574	342.167	2.0207	381.186	6.88414	0.865999	37.5	41428.5	42758	38061.5	42259	158
DATA	4817576	245	2014-03-18	18:30:05:600	0.0808048	0.0405804	14.719	266.743	21.6414	94.7355	-1.18155	1.18563	0.280084	342.274	2.02101	380.781	6.90062	0.880482	37.5	41427.5	42757	38061	42259.5	177
DATA	4817606	245	2014-03-18	18:30:05:700	0.0808248	0.040586	14.7235	266.785	21.6414	94.7332	-1.05911	1.2999	0.25483	342.288	2.02085	380.88	6.90141	0.877387	37.5	41429.5	42759	38062	42260	213
DATA	4817636	245	2014-03-18	18:30:05:800	0.0808181	0.0405766	14.7221	266.712	21.6445	94.7379	-1.09176	1.44887	-0.0752502	342.131	2.02096	380.859	6.8998	0.870859	37.5	41428	42757.5	38061.5	42258.5	163
DATA	4817666	245	2014-03-18	18:30:05:900	0.0808247	0.0405738	14.7233	266.684	21.6445	94.7355	-0.938707	1.46928	-0.250494	341.878	2.02096	380.859	6.89854	0.863618	37.5	41429.5	42757.5	38058.5	42258.5	 95
DATA	4817696	245	2014-03-18	18:30:06:000	0.080878	0.0405346	14.736	266.372	21.6445	94.7379	-0.952991	1.7713	-0.119125	342.161	2.02091	381.206	6.8908	0.860508	37.5	41430	42758	38060	42259.5	 37
